Sales_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Returned,Cost_Price,Unit_Price
SALE00001,2024-12-24,CUST140,PROD017,6,0,No,223.8,326.11
SALE00002,2024-04-05,CUST095,PROD007,4,5,Yes,373.08,564.49
SALE00003,2024-07-11,CUST092,PROD027,7,5,No,46.96,53.76
SALE00004,2024-06-30,CUST065,PROD047,2,15,No,137.38,171.75
SALE00005,2023-09-10,CUST047,PROD015,4,15,No,50.62,57.14
SALE00006,2024-01-25,CUST181,PROD046,5,10,No,186.57,239.89
SALE00007,2024-08-16,CUST106,PROD013,4,0,No,206.11,327.85
SALE00008,2023-09-13,CUST199,PROD011,4,25,No,343.71,396.17
SALE00009,2024-12-09,CUST130,PROD045,9,15,No,140.31,193.79
SALE00010,2024-03-25,CUST106,PROD026,2,0,Yes,350.75,386.89
SALE00011,2023-01-10,CUST024,PROD022,6,20,No,31.27,45.54
SALE00012,2023-08-30,CUST004,PROD028,8,0,No,91.45,109.61
SALE00013,2023-09-08,CUST108,PROD024,8,10,No,460.37,536.24
SALE00014,2023-01-05,CUST019,PROD029,7,10,No,116.24,147.45
SALE00015,2023-04-29,CUST154,PROD009,4,5,No,413.17,613.77
SALE00016,2024-01-09,CUST040,PROD042,7,20,No,326.96,377.09
SALE00017,2023-03-06,CUST050,PROD004,6,5,No,134.3,163.16
SALE00018,2023-05-26,CUST171,PROD049,6,0,No,25.83,28.52
SALE00019,2023-08-12,CUST075,PROD046,2,25,No,186.57,295.57
SALE00020,2023-08-27,CUST195,PROD018,8,25,No,403.03,562.66
SALE00021,2023-06-26,CUST012,PROD043,8,15,No,200.25,292.35
SALE00022,2023-10-09,CUST195,PROD016,7,10,Yes,268.9,383.37
SALE00023,2023-03-04,CUST027,PROD033,9,0,No,198.26,232.4
SALE00024,2023-08-05,CUST113,PROD029,8,15,Yes,116.24,162.44
SALE00025,2024-11-19,CUST182,PROD039,9,0,No,62.31,72.64
SALE00026,2024-04-05,CUST194,PROD010,9,0,No,374.66,487.29
SALE00027,2024-09-01,CUST049,PROD009,6,10,No,413.17,572.03
SALE00028,2023-04-15,CUST144,PROD031,2,0,No,497.96,686.91
SALE00029,2023-04-09,CUST130,PROD028,7,0,No,91.45,106.04
SALE00030,2024-05-25,CUST060,PROD003,3,5,No,222.88,249.01
SALE00031,2024-01-20,CUST182,PROD014,7,0,No,244.08,365.9
SALE00032,2024-02-09,CUST030,PROD025,9,0,No,133.97,195.99
SALE00033,2024-06-01,CUST084,PROD015,2,0,No,50.62,57.75
SALE00034,2024-04-20,CUST166,PROD002,6,0,Yes,171.82,199.95
SALE00035,2024-12-09,CUST028,PROD024,6,15,Yes,460.37,711.87
SALE00036,2024-10-06,CUST025,PROD014,9,20,No,244.08,362.35
SALE00037,2024-03-12,CUST096,PROD048,9,10,No,232.09,370.9
SALE00038,2023-01-23,CUST125,PROD007,5,10,No,373.08,457.77
SALE00039,2024-07-18,CUST010,PROD036,5,0,No,479.76,644.75
SALE00040,2024-11-07,CUST188,PROD050,9,0,No,147.08,179.18
SALE00041,2024-12-14,CUST042,PROD024,8,5,No,460.37,649.77
SALE00042,2024-04-02,CUST040,PROD027,7,10,No,46.96,54.37
SALE00043,2023-03-24,CUST077,PROD037,8,15,No,38.35,44.62
SALE00044,2023-05-25,CUST105,PROD038,6,10,No,203.32,230.96
SALE00045,2023-03-26,CUST118,PROD030,3,5,Yes,154.3,223.24
SALE00046,2023-03-19,CUST042,PROD027,7,0,No,46.96,63.26
SALE00047,2024-04-01,CUST047,PROD039,8,15,No,62.31,87.79
SALE00048,2023-01-01,CUST165,PROD015,8,5,No,50.62,77.94
SALE00049,2023-02-20,CUST022,PROD026,1,15,No,350.75,515.66
SALE00050,2024-11-15,CUST185,PROD001,7,10,No,131.87,175.5
SALE00051,2024-12-17,CUST107,PROD004,3,15,No,134.3,213.83
SALE00052,2024-03-21,CUST027,PROD029,2,25,No,116.24,154.38
SALE00053,2024-03-24,CUST041,PROD001,2,25,No,131.87,152.47
SALE00054,2024-05-02,CUST080,PROD043,8,10,No,200.25,319.66
SALE00055,2023-02-03,CUST162,PROD050,9,10,Yes,147.08,163.47
SALE00056,2023-12-14,CUST160,PROD046,3,5,No,186.57,256.52
SALE00057,2023-04-05,CUST089,PROD022,3,25,No,31.27,39.23
SALE00058,2023-03-13,CUST066,PROD011,6,10,No,343.71,464.62
SALE00059,2024-07-04,CUST012,PROD010,1,0,No,374.66,516.79
SALE00060,2023-06-03,CUST168,PROD017,6,5,No,223.8,273.05
SALE00061,2023-09-07,CUST073,PROD036,3,0,No,479.76,661.32
SALE00062,2024-11-04,CUST076,PROD047,4,10,No,137.38,203.05
SALE00063,2024-03-13,CUST090,PROD026,9,10,No,350.75,432.56
SALE00064,2023-04-28,CUST010,PROD048,3,5,No,232.09,299.79
